Song Name,Artists,Artist_ID,Track_ID
Bitter Sweet Symphony - Remastered 2016,The Verve,2cGwlqi3k18jFpUyTrsR84,57iDDD9N9tTWe75x6qhStw
Disintegration - 2010 Remaster,The Cure,7bu3H8JO7d0UbMoVzbo70s,0zY8t5dC1KQXcPUKByWMJM
Rasputin,Boney M.,54R6Y0I7jGUCveDTtI21nb,5jkFvD4UJrmdoezzT1FRoP
Monster,Skillet,49bzE5vRBRIota4qeHtQM8,2UREu1Y8CO4jXkbvqAtP7g
Done for Me (feat. Kehlani),"Charlie Puth, Kehlani",6VuMaDnrHyPL1p4EHjYLi7,1lsBTdE6MGsKeZCD6llNu7
Die For You,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2Ch7LmS7r2Gy2kc64wv3Bz
Shankara,Hilight Tribe,62RdOEwjfXjFOQpKdufMR7,3ChrN5yqI2YE6eAMMfvDs1
MONEY,LISA,5L1lO4eRHmJ7a0Q6csE5cT,45OX2jjEw1l7lOFJfDP9fv
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",7jVv8c5Fj3E9VhNjxT4snq,27NovPIUIRrOZoCHxABJwK
Follow,"Martin Garrix, Zedd",60d24wfXkVzDSfLS6hyCjZ,5aXTfpNOqLj35ydEiLio67
Beggin (original version),Madcon,6c4sUNBgdonFJz8Kx2VsGz,1XyL3J7eTTKnxRZAM3LqIT
Wrong,Depeche Mode,762310PdDnwsDxAQxzQkfX,1EpjMVaoloW4sLIdfVD6P8
Alors on danse - Radio Edit,Stromae,5j4HeCoUlzhfWtjAfM1acR,2GYHyAoLWpkxLVa4oYTVko
Beautiful Alien (feat. AI AM) - Radio Edit,"Darude, AI AM",0LhHRmSd1EYM5QdNeNnCoQ,0a2TKGBIXhDpKhxJXq0iBs
Mambo No. 5 (a Little Bit of...),Lou Bega,46lnlnlU0dXTDpoAUmH6Qx,6x4tKaOzfNJpEJHySoiJcs
Give It Up,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,3yDhZq8f17SmumVmEyCaRN
Bad Boys (Theme from COPS),Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,0qeKzbUsW0V4ZWRJrHNiD3
Johnny B. Goode,Chuck Berry,293zczrfYafIItmnmM3coR,2QfiRTz5Yc8DdShCxG1tB2
Bonfire,Knife Party,2DuJi13MWHjRHrqRUwk8vH,0QIYINh2AwmOmdu8CRYvlw
Flashback,Calvin Harris,7CajNmpbOovFoOoasH2HaY,6A8llSO9QFF4djCCmuCrNu
Empire State Of Mind,"JAY-Z, Alicia Keys",3nFkdlSjzX9mRTtwJOzDYB,2igwFfvr1OAGX9SKDCPBwO
Hotter Than Hell,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,5eTNdkstwKaNahHf41fJ9u
Blow Your Mind (Mwah),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,7kJlTKjNZVT26iwiDUVhRm
Life is a Highway,Rascal Flatts,0LyfQWJT6nXafLPZqxe9Of,5gB2IrxOCX2j9bMnHKP38i
Love The Way You Lie,"Eminem, Rihanna",7dGJo4pcD2V6oG8kP0tJRR,6UaRii9AH6Zss9xNMEQ2M9
2 MUCH (feat. 24hrs),"Flosstradamus, 24hrs",2FmzVitXZjIkFolH8HXd4j,6jtNk2zqbiZ9S7l6Gcp78A
Really Love (feat. Craig David & Digital Farm Animals),"KSI, Digital Farm Animals, Craig David",1nzgtKYFckznkcVMR3Gg4z,55RHkhHFQBUCEFVHoWwtFo
Fortunate Son,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,4BP3uh0hFLFRb5cjsgLqDh
Way down We Go,KALEO,7jdFEYD2LTYjfwxOdlVjmc,0y1QJc3SJVPKJ1OvFmFqe6
Astronaut In The Ocean,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,0BGwAKW4u8kWOhWFflZxfl
Boss Bitch,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,78qd8dvwea0Gosb6Fe6j3k
Cotton Eye Joe,Rednex,22Zqu1yyebVnbve8FxbJ2g,06hsdMbBxWGqBO0TV0Zrkf
Smells Like Teen Spirit,Nirvana,6olE6TJLqED3rqDCT0FyPh,1f3yAtsJtY87CTmM8RLnxf
Déjà-Vu,"Timmy Trumpet, Savage",0CbeG1224FS58EUx4tPevZ,0swsqLCM1j5gdzFLtu2xQt
